year,month,length-sum,length-mean,conflict_period,date
2023,11,444184,649.3918128654971,1,2023-11-01
2023,10,391428,615.4528301886793,1,2023-10-01
2023,12,279856,612.3763676148797,1,2023-12-01
2024,1,217854,668.2638036809816,0,2024-01-01
2024,2,202725,643.5714285714286,0,2024-02-01
2024,3,202288,663.239344262295,0,2024-03-01
2024,4,117480,596.3451776649746,0,2024-04-01
